ticker	name	sector	market_cap	val_avg_3mo	trailingPE	last	mtd_rtn	mo3_rtn	year_rtn	daily_trend	weekly_trend	monthly_trend	trend_rank	pfh_250	days_since_high_250	breakout	longest_consolidation_window	position	price_extreme	vol_5_day_chng	vol_20_day_chng
1010	Riyad Bank	Banks	9	12	8.1	20.49	0.7%	0.7%	1.3%	down:16,6	down:35,16	flat	146	9.1%	345	-	763	35%	-	-42%	+0%
1020	Bank Aljazira	Banks	37	40	12.0	12.13	-0.2%	6.4%	-2.7%	up:24,11	flat	down:29,27	71	8.9%	385	-	230	55%	-	-45%	+61%
1030	Saudi Investment Bank	Banks	33	128	8.2	14.14	2.0%	7.2%	0.0%	up:34,2	flat	flat	36	2.4%	388	-	214	88%	-	+45%	+36%
1050	Banque Saudi Fransi	Banks	15	31	9.9	20.79	5.2%	10.2%	22.3%	up:33,1	up:136,1	flat	16	2.0%	1	-	908	78%	green	+48%	-8%
1060	Saudi Awwal Bank	Banks	12	15	8.9	33.88	0.1%	-1.4%	5.4%	flat	down:24,22	down:234,176	179	11.8%	85	-	556	41%	-	-44%	+34%
1080	Arab National Bank	Banks	19	39	8.2	22.19	2.3%	6.4%	-0.3%	up:19,2	flat	up:397,207	15	17.0%	207	-	188	73%	-	-27%	-14%
1111	Saudi Tadawul Group Holding Co.	Financial Services	39	34	43.6	121.3	2.3%	-10.9%	-30.1%	down:44,5	down:177,5	down:83,5	232	75.3%	588	-	-	-	red	-20%	+90%
1120	Al Rajhi Bank	Banks	2	1	15.0	64.8	3.6%	-3.4%	1.1%	down:71,16	flat	up:649,200	44	13.2%	200	-	224	23%	-	-5%	+32%
1140	Bank Albilad	Banks	20	30	12.4	25.26	2.7%	4.0%	-5.5%	up:3,2	down:350,293	down:250,31	136	18.8%	615	-	-	-	-	-9%	-31%
1150	Alinma Bank	Banks	11	5	11.7	24.86	6.4%	4.2%	16.6%	up:3,*	up:91,86	up:46,42	5	2.4%	86	-	-	-	-	+63%	+19%
1180	The Saudi National Bank	Banks	3	3	9.4	41.66	6.3%	8.0%	15.7%	up:9,3	up:4,3	up:102,87	6	8.0%	135	-	-	-	-	-18%	-12%
1182	Amlak International Finance Co.	Financial Services	181	186	12.6	8.87	3.5%	-8.2%	-29.3%	flat	down:176,16	down:522,16	180	56.3%	199	-	-	-	-	-32%	+52%
1183	SHL Finance Co.	Financial Services	142	251	25.7	14.0	-2.8%	-7.4%	-36.6%	down:42,*	down:145,112	down:77,*	211	68.3%	271	-	-	-	-	+385%	-44%
1201	Takween Advanced Industries Co.	Materials	245	211	-	4.8	-3.0%	-3.2%	-35.9%	flat	down:559,17	down:931,17	201	62.5%	1273	-	-	-	-	-34%	+170%
1202	Middle East Paper Co.	Materials	148	91	83.6	18.49	16.4%	-0.9%	-32.1%	up:2,*	down:403,15	down:159,15	132	53.2%	601	-	-	-	-	-37%	+97%
1210	Basic Chemical Industries Co.	Materials	207	254	24.8	25.12	11.2%	2.7%	-7.3%	up:6,3	down:186,15	down:462,15	139	15.4%	1222	-	-	-	-	-39%	+160%
1211	Saudi Arabian Mining Co.	Materials	4	6	24.8	66.8	18.0%	9.5%	26.6%	up:4,*	flat	up:1338,137	14	19.0%	137	-	-	-	-	-48%	+38%
1212	Astra Industrial Group	Capital Goods	46	100	14.6	137.5	13.3%	3.2%	-5.6%	up:5,3	down:73,15	flat	61	12.7%	399	-	344	41%	-	-2%	+70%
1213	Naseej International Trading Co.	Consumer Durables & Apparel	263	75	-	24.84	14.1%	13.5%	-75.7%	flat	down:199,114	down:93,8	183	313.0%	377	-	-	-	-	+124%	-60%
1214	Al Hassan Ghazi Ibrahim Shaker Co.	Capital Goods	180	94	11.0	12.05	-7.0%	-18.9%	-56.5%	down:80,3	down:297,3	down:114,3	236	134.8%	598	-	-	-	red,red	+124%	+327%
1301	United Wire Factories Co.	Materials	231	232	99.6	18.34	15.1%	14.6%	-22.6%	up:11,*	down:196,113	down:316,113	131	40.9%	599	-	-	-	-	+28%	+171%
1302	Bawan Co.	Capital Goods	127	121	16.9	34.76	1.9%	-19.6%	-40.4%	down:46,7	down:134,7	flat	152	77.2%	392	-	-	-	red	-51%	+26%
1303	Electrical Industries Co.	Capital Goods	36	18	20.5	15.06	6.4%	-3.0%	59.4%	flat	up:315,84	up:873,84	12	27.0%	83	-	-	-	-	-45%	-26%
1304	Al Yamamah Steel Industries Co.	Materials	136	82	14.9	37.6	7.7%	-1.4%	10.7%	down:19,15	up:144,34	up:572,34	25	14.4%	34	-	633	64%	-	-68%	-6%
1320	Saudi Steel Pipe Co.	Materials	112	72	12.4	47.3	0.6%	-12.4%	-8.1%	down:27,3	down:1,*	flat	168	25.9%	602	-	-	-	-	-10%	-43%
1321	East Pipes Integrated Company for Industry	Materials	67	24	10.1	187.9	2.1%	-4.1%	70.8%	down:14,13	up:168,30	up:123,30	23	20.8%	30	-	-	-	-	-24%	-17%
1322	Almasane Alkobra Mining Co.	Materials	64	44	18.5	85.15	16.0%	14.1%	36.0%	up:7,5	flat	up:93,86	13	37.2%	134	-	-	-	-	-27%	+74%
1323	United Carton Industries Co.	Materials	166	167	13.1	27.32	-1.2%	12.8%	-9.5%	up:19,11	flat	flat	35	15.9%	306	-	-	-	green	-42%	+120%
1324	Saleh Abdulaziz Al Rashed and Sons Co.	Materials	194	109	-	38.66	-2.2%	-17.6%	-	down:58,5	flat	flat	95	77.7%	96	-	-	-	-	-11%	-64%
