ticker	name	sector	market_cap	val_avg_3mo	trailingPE	last	mtd_rtn	mo3_rtn	year_rtn	daily_trend	weekly_trend	monthly_trend	trend_rank	pfh_250	days_since_high_250	breakout	longest_consolidation_window	position	price_extreme	vol_5_day_chng	vol_20_day_chng
7200	Al Moammar Information Systems Co.	Software & Services	86	66	51.0	241.2	3.6%	34.8%	86.2%	up:73,*	up:146,*	up:155,*	1	0.0%	0	All-Time High	-	-	-	+134%	-41%
2300	Saudi Paper Manufacturing Co.	Materials	134	113	46.9	69.0	22.6%	18.9%	22.3%	up:18,*	up:7,*	up:74,*	2	0.0%	0	1-Year High	-	-	green,green	+100%	+172%
4019	Specialized Medical Co.	Health Care Equipment & Svc	88	121	16.7	14.19	-15.3%	-22.5%	-27.6%	down:65,*	down:24,*	flat	126	49.4%	271	All-Time Low	-	-	red,red	+115%	+1%
2320	Al-Babtain Power and Telecommunication Co.	Capital Goods	94	41	9.2	52.9	-18.2%	-20.5%	-1.5%	down:18,*	flat	up:657,29	32	38.4%	29	1-Year Low	-	-	red,red	+56%	+12%
2287	Arabian Company for Agricultural and Industrial Investment	Food & Beverages	192	115	-	23.15	-5.9%	-8.2%	-43.5%	down:2,1	down:47,1	flat	127	83.2%	295	1-Year Low	-	-	-	+52%	+578%
4240	AFG International Co.	Consumer Discretionary Distribution & Retail	140	56	-	12.13	-12.8%	-24.7%	-58.3%	down:55,*	down:95,*	down:49,*	191	145.3%	261	1-Year Low	-	-	red,red	+1%	-53%
4193	Nice One Beauty Digital Marketing Co.	Consumer Discretionary Distribution & Retail	148	97	-	11.04	-21.4%	-21.7%	-63.4%	down:21,*	down:137,*	flat	131	173.9%	356	All-Time Low	-	-	red	+95%	-38%
2240	Advanced Building Industries Co.	Materials	124	79	25.5	26.92	-20.8%	-32.0%	-31.7%	down:53,*	down:18,*	up:449,300	75	60.4%	300	1-Year Low	-	-	red,red	+34%	-71%
4142	Riyadh Cables Group Co.	Capital Goods	31	42	16.4	99.8	-16.7%	-24.6%	-24.3%	down:19,*	down:95,*	flat	141	42.8%	387	1-Year Low	-	-	red,red	+18%	-25%
4322	Retal Urban Development Co.	Real Estate Mgmt & Dev't	64	86	23.2	10.16	-15.5%	-31.4%	-31.0%	down:47,*	down:35,*	flat	144	48.7%	410	2-Year Low	-	-	red,red	+39%	-38%
2084	Miahona Co.	Utilities	114	134	35.7	12.15	-19.5%	-24.6%	-53.3%	down:63,*	down:181,*	flat	148	127.5%	507	All-Time Low	-	-	red,red	-12%	-10%
1212	Astra Industrial Group	Capital Goods	45	110	18.3	121.4	-7.8%	-13.9%	-15.6%	down:58,*	down:58,*	flat	140	27.7%	384	2-Year Low	230	0%	red	+50%	-47%
4072	MBC Group Co.	Media and Entertainment	52	151	15.6	20.06	-12.2%	-23.4%	-35.9%	down:102,*	down:309,*	flat	158	88.9%	625	All-Time Low	-	-	red,red	-18%	+61%
