ticker	name	sector	market_cap	val_avg_3mo	trailingPE	last	mtd_rtn	mo3_rtn	year_rtn	daily_trend	weekly_trend	monthly_trend	trend_rank	pfh_250	days_since_high_250	breakout	longest_consolidation_window	position	price_extreme	vol_5_day_chng	vol_20_day_chng
1050	Banque Saudi Fransi	Banks	15	30	9.9	21.91	10.9%	15.3%	31.2%	up:40,3	up:143,3	up:4,3	5	0.3%	3	-	915	92%	green,green	+20%	-1%
2040	Saudi Ceramic Co.	Capital Goods	111	164	13.2	25.48	5.9%	-7.6%	-10.2%	flat	down:63,23	down:374,23	206	27.6%	574	-	874	16%	-	-43%	+13%
1010	Riyad Bank	Banks	9	11	8.1	20.9	2.8%	2.4%	5.7%	up:2,*	down:42,23	flat	69	6.9%	352	-	770	42%	-	+28%	+5%
1304	Al Yamamah Steel Industries Co.	Materials	136	86	14.9	37.96	8.7%	-3.0%	13.5%	down:26,22	up:151,41	up:579,41	28	13.3%	41	-	640	67%	-	+56%	+4%
8010	The Company for Cooperative Insurance	Insurance	32	24	16.3	136.5	11.3%	-6.2%	17.5%	down:1,*	up:60,52	up:60,52	29	17.5%	52	-	613	42%	-	+16%	+5%
7040	Etihad GO Telecom Co.	Telecommunication Services	104	83	10.9	87.5	5.2%	-6.7%	-18.2%	flat	down:44,22	up:797,585	59	28.7%	585	-	613	15%	-	+187%	+66%
4140	Saudi Industrial Export Co.	Capital Goods	229	117	-	2.29	-0.9%	-1.7%	10.6%	down:7,*	up:97,20	down:710,183	137	30.1%	153	-	586	39%	-	+46%	-35%
4200	Aldrees Petroleum and Transport Services Co.	Consumer Discretionary Distribution & Retail	43	27	25.1	117.9	2.6%	1.6%	-0.1%	up:14,6	down:153,30	flat	77	30.0%	619	-	582	28%	-	-15%	+4%
1060	Saudi Awwal Bank	Banks	12	17	8.9	34.1	0.8%	-0.9%	11.2%	up:6,3	down:31,29	down:241,183	142	11.1%	92	-	563	44%	-	+22%	+36%
4703	SEDCO Capital Multi Asset Traded Fund	Closed-End Fund	-	263	-	6.74	1.5%	6.1%	3.1%	up:8,*	flat	flat	42	7.4%	152	-	473	59%	-	-51%	-46%
4350	Alistithmar AREIC Diversified REIT Fund	REITs	237	259	-	6.86	-1.0%	-2.8%	-17.2%	down:21,17	down:214,17	flat	180	22.9%	481	-	439	24%	-	+153%	-73%
2286	Fourth Milling Co.	Food & Beverages	125	190	10.6	4.02	2.0%	-2.4%	1.5%	down:5,1	up:49,48	flat	61	8.0%	48	-	435	65%	-	-56%	-6%
4345	Alinma Retail REIT Fund	REITs	217	246	-	4.68	-0.8%	-4.9%	3.1%	down:16,8	up:68,41	down:1011,149	134	6.6%	41	-	432	53%	-	-39%	+13%
4333	Taleem REIT Fund	REITs	221	261	15.7	10.42	0.3%	-0.8%	5.2%	flat	up:65,50	down:819,297	82	4.9%	50	-	416	69%	-	-2%	+97%
4165	Al Majed Oud Co.	Household & Personal Products	100	168	14.4	123.4	3.7%	-9.5%	4.0%	flat	down:38,7	flat	119	36.2%	105	-	377	25%	-	-24%	+13%
2350	Saudi Kayan Petrochemical Co.	Materials	58	46	-	5.26	5.2%	-9.9%	2.9%	flat	down:30,23	down:713,299	217	19.4%	1099	-	371	43%	-	+9%	+17%
1834	Saudi Manpower Solutions Co.	Commercial & Professional Svc	110	98	15.6	5.78	-7.2%	-1.7%	-2.0%	down:12,9	flat	flat	110	12.1%	18	-	365	41%	-	+16%	+73%
1212	Astra Industrial Group	Capital Goods	46	108	14.6	136.1	12.1%	1.7%	-3.5%	up:12,2	down:80,22	flat	71	13.9%	406	-	354	37%	-	+108%	+61%
2285	Arabian Mills for Food Products Co.	Food & Beverages	117	180	9.0	42.1	-6.4%	-8.3%	1.4%	down:19,1	flat	flat	111	17.4%	48	-	351	45%	-	-13%	-14%
4110	Batic Investments and Logistics Co.	Capital Goods	160	95	-	2.02	1.0%	-6.5%	-9.8%	down:39,24	down:36,24	down:140,119	237	17.8%	470	-	348	23%	-	+43%	+17%
4263	SAL Saudi Logistics Services Co.	Transportation	40	36	19.7	164.4	-5.0%	-3.4%	-2.6%	down:9,*	flat	flat	118	12.8%	531	-	341	40%	-	+911%	+93%
7030	Mobile Telecommunication Company Saudi Arabia	Telecommunication Services	51	57	13.1	10.31	-0.4%	-5.4%	-1.9%	flat	down:42,30	down:482,300	198	17.2%	341	-	328	10%	-	-16%	-12%
2050	Savola Group	Food & Beverages	57	50	8.3	25.92	-0.5%	-8.7%	8.7%	down:30,26	up:53,48	flat	60	15.7%	47	-	327	55%	-	+11%	+36%
4348	Alkhabeer REIT Fund	REITs	187	252	21.3	5.64	-1.7%	-1.7%	-1.4%	down:19,2	down:11,2	down:856,119	272	3.6%	1284	-	318	38%	-	+24%	-7%
4012	Thob Al Aseel Co.	Consumer Durables & Apparel	144	226	13.7	3.51	-1.1%	-4.6%	-5.6%	down:15,9	down:13,9	down:339,173	255	13.7%	782	-	271	38%	-	+114%	+60%
1020	Bank Aljazira	Banks	37	32	12.0	12.0	-1.2%	4.8%	-0.4%	up:31,18	flat	down:36,34	88	10.1%	392	-	256	49%	-	+365%	+191%
8012	Aljazira Takaful Taawuni Co.	Insurance	189	219	25.7	11.52	-4.5%	2.4%	-6.4%	down:12,*	flat	down:513,119	192	13.6%	739	-	254	34%	-	+82%	+8%
2070	Saudi Pharmaceutical Industries and Medical Appliances Corp.	Pharma, Biotech & Life Science	93	94	20.9	30.32	-3.1%	3.2%	16.6%	up:36,18	up:95,89	down:520,349	57	8.9%	89	-	247	66%	-	+19%	-87%
7010	Saudi Telecom Co.	Telecommunication Services	5	7	14.4	44.72	3.7%	1.6%	6.4%	up:12,*	up:66,53	up:406,335	14	1.0%	335	-	234	88%	-	+28%	+16%
