ticker	name	sector	market_cap	val_avg_3mo	trailingPE	last	mtd_rtn	mo3_rtn	year_rtn	daily_trend	weekly_trend	monthly_trend	trend_rank	pfh_250	days_since_high_250	breakout	longest_consolidation_window	position	price_extreme	vol_5_day_chng	vol_20_day_chng
2222	Saudi Arabian Oil Co.	Energy	1	2	17.2	26.48	0.0%	-5.2%	10.1%	down:2,*	up:83,57	down:475,228	116	5.6%	57	-	45	37%	-	-41%	+10%
1120	Al Rajhi Bank	Banks	2	1	15.0	64.05	2.4%	-2.7%	3.1%	down:66,11	flat	up:644,195	47	14.5%	195	-	219	17%	-	-34%	+38%
1180	The Saudi National Bank	Banks	3	3	9.4	41.3	5.4%	6.6%	16.4%	up:4,*	flat	up:97,82	11	9.0%	130	-	-	-	-	-34%	+24%
1211	Saudi Arabian Mining Co.	Materials	4	5	24.8	64.45	13.9%	-0.2%	21.7%	flat	flat	up:1333,132	27	23.4%	132	-	-	-	-	+18%	+23%
7010	Saudi Telecom Co.	Telecommunication Services	5	8	14.4	43.58	1.0%	1.1%	2.8%	flat	up:54,41	up:394,323	9	3.7%	323	-	222	60%	-	-35%	+34%
2010	Saudi Basic Industries Corp.	Materials	6	9	-	49.2	-0.8%	-20.1%	-14.3%	down:51,*	down:41,*	down:905,*	261	27.6%	1102	17-Year Low	-	-	-	-1%	+16%
2082	ACWA POWER Co.	Utilities	7	7	79.8	184.5	-1.6%	1.9%	-19.0%	flat	flat	flat	59	34.8%	461	-	-	-	-	-15%	-6%
4013	Dr. Sulaiman Al Habib Medical Services Group	Health Care Equipment & Svc	8	26	34.0	228.4	-2.8%	3.8%	-9.8%	up:9,6	down:183,33	flat	66	22.6%	613	-	-	-	-	-59%	+27%
1010	Riyad Bank	Banks	9	13	8.1	20.24	-0.5%	-0.5%	2.2%	down:11,1	down:30,11	flat	143	10.4%	340	-	758	31%	-	+50%	+10%
5110	Saudi Energy Co.	Utilities	10	50	14.7	16.75	-1.2%	-4.2%	16.0%	flat	up:74,38	down:651,109	67	9.7%	38	-	-	-	-	-11%	+14%
