ticker	name	sector	market_cap	val_avg_3mo	trailingPE	last	mtd_rtn	mo3_rtn	year_rtn	daily_trend	weekly_trend	monthly_trend	trend_rank	pfh_250	days_since_high_250	breakout	longest_consolidation_window	position	price_extreme	vol_5_day_chng	vol_20_day_chng
3050	Southern Province Cement Co.	Materials	107	231	-	19.06	2.6%	-6.5%	-26.2%	down:87,11	down:773,11	down:939,11	273	44.6%	1390	-	-	-	-	+88%	-26%
3002	Najran Cement Co.	Materials	173	220	34.2	5.34	-2.6%	-9.5%	-33.2%	down:126,*	down:752,*	down:837,*	272	54.7%	1284	All-Time Low	-	-	red	+42%	-23%
3004	Northern Region Cement Co.	Materials	162	246	19.4	6.6	3.1%	-5.4%	-15.3%	down:58,10	down:345,10	down:900,10	271	24.8%	1272	-	-	-	-	+120%	-5%
2220	National Metal Manufacturing and Casting Co.	Materials	239	223	-	11.87	2.2%	-0.1%	-25.2%	down:19,11	down:181,109	down:871,109	270	51.1%	1272	-	-	-	-	-17%	-63%
4336	Mulkia Gulf Real Estate REIT	REITs	227	268	-	4.5	-1.5%	-2.0%	-2.8%	down:5,*	down:1038,108	down:924,108	269	8.9%	1271	-	-	-	-	+6%	+11%
1201	Takween Advanced Industries Co.	Materials	245	213	-	4.62	-6.7%	-10.5%	-37.8%	down:2,1	down:554,12	down:926,12	268	68.8%	1268	-	-	-	-	-33%	+130%
4141	Al-Omran Industrial Trading Co.	Capital Goods	262	239	-	20.04	0.9%	-3.3%	-24.4%	down:21,10	down:367,10	down:511,10	267	62.2%	1268	-	114	6%	-	-26%	-79%
4335	Musharaka REIT Fund	REITs	254	264	-	3.49	2.1%	-14.9%	-16.5%	down:92,2	down:113,2	down:898,2	266	28.9%	1266	-	-	-	red	+88%	+118%
4340	Al Rajhi REIT Fund	REITs	121	234	14.9	8.0	-0.9%	-3.4%	-2.0%	down:16,2	down:6,2	down:734,139	265	4.8%	1254	-	-	-	-	+200%	+74%
3010	Arabian Cement Co.	Materials	122	202	11.4	22.11	-0.1%	-3.4%	2.2%	down:13,11	down:2,*	down:722,257	264	9.6%	1245	-	-	-	-	-39%	+61%
