ticker	name	sector	market_cap	val_avg_3mo	trailingPE	last	mtd_rtn	mo3_rtn	year_rtn	daily_trend	weekly_trend	monthly_trend	trend_rank	pfh_250	days_since_high_250	breakout	longest_consolidation_window	position	price_extreme	vol_5_day_chng	vol_20_day_chng
2190	Sustained Infrastructure Holding Co.	Transportation	101	80	29.6	39.14	9.3%	12.8%	11.8%	up:7,*	up:71,*	up:100,*	1	0.0%	0	2-Year High	678	94%	-	+52%	+74%
4300	Dar Alarkan Real Estate Development Co.	Real Estate Mgmt & Dev't	28	81	16.7	21.14	15.0%	26.0%	10.7%	up:41,1	up:40,1	up:494,338	2	0.0%	1	-	-	-	green	+13%	+23%
1050	Banque Saudi Fransi	Banks	15	32	9.9	21.81	10.4%	14.0%	34.6%	up:38,1	up:141,1	up:2,1	3	0.8%	1	-	913	91%	green,green	+2%	-1%
1150	Alinma Bank	Banks	11	5	11.7	25.84	10.6%	7.7%	21.7%	up:8,1	up:96,1	up:51,1	4	0.2%	1	-	-	-	-	+51%	+31%
7200	Al Moammar Information Systems Co.	Software & Services	60	45	98.0	304.0	26.0%	61.3%	127.2%	up:93,2	up:166,2	up:175,2	5	5.7%	2	-	-	-	green,green	+301%	+154%
4030	National Shipping Company of Saudi Arabia	Energy	21	11	7.1	35.9	15.4%	6.2%	62.4%	up:4,2	up:199,4	up:855,4	6	3.9%	4	-	-	-	-	+101%	+61%
2300	Saudi Paper Manufacturing Co.	Materials	108	107	34.5	65.0	-5.8%	13.5%	24.6%	up:1,*	up:27,17	up:94,17	7	6.2%	17	-	-	-	-	+97%	-28%
4280	Kingdom Holding Co.	Financial Services	18	57	22.9	14.32	17.9%	16.0%	83.8%	up:24,*	up:110,62	up:79,62	8	7.4%	62	-	-	-	-	-23%	+27%
1180	The Saudi National Bank	Banks	3	3	9.4	43.4	10.7%	10.2%	23.9%	up:14,1	up:9,1	up:107,92	9	3.7%	140	-	-	-	-	+36%	-20%
7010	Saudi Telecom Co.	Telecommunication Services	5	7	14.4	44.66	3.5%	1.4%	6.1%	up:10,*	up:64,51	up:404,333	10	1.2%	333	-	232	87%	-	+30%	+24%
