Symbol,Company,Suspended,Delisted,Close Price,Issued Shares,Net Income,Shareholders Equity,Market Cap,Market Cap %,EPS,P/E Ratio,Book Value,P/B Ratio
2030,SARCO,False,False,50.25,15.0,-41.44,278.33,753.75,0.01,-2.763,,18.55,2.7
2222,SAUDI ARAMCO,False,False,26.28,242000.0,412130.0,1569460.0,6359760.0,66.07,1.703,15.431,6.48,4.05
2380,PETRO RABIGH,False,False,18.04,1671.0,2284.0,17150.0,30144.84,0.31,1.367,13.198,10.26,1.75
2381,ARABIAN DRILLING,False,False,91.5,89.0,-182.3,5724.8,8143.5,0.08,-2.048,,64.32,1.42
2382,ADES,False,False,19.2,1129.062,804.8,6909.29,21677.99,0.23,0.713,26.935,6.11,3.13
4030,BAHRI,False,False,36.88,922.851,6387.1,19007.0,34034.74,0.35,6.921,5.328,20.59,1.79
1201,TAKWEEN,False,False,4.83,76.464,-228.65,128.1,369.32,,-2.99,,1.67,2.88
1202,MEPCO,False,False,18.69,86.666,26.15,1644.33,1619.79,0.02,0.302,61.942,18.97,0.98
1210,BCI,False,False,25.28,27.5,45.05,613.07,695.2,0.01,1.638,15.431,22.29,1.13
1211,MAADEN,False,False,69.5,3888.763,7687.16,65226.42,270269.03,2.81,1.977,35.158,16.77,4.14
1301,ASLAK,False,False,19.32,28.08,18.89,370.6,542.51,0.01,0.673,28.719,13.19,1.46
1304,ALYAMAMAH STEEL,False,False,37.36,50.8,165.96,770.01,1897.89,0.02,3.267,11.435,15.15,2.46
1320,SSP,False,False,49.04,51.0,162.0,897.0,2501.04,0.03,3.176,15.438,17.58,2.78
1321,EAST PIPES,False,False,190.0,31.5,606.19,1562.99,5985.0,0.06,19.244,9.873,49.61,3.82
1322,AMAK,False,False,88.2,90.0,247.07,1420.84,7938.0,0.08,2.745,32.128,15.78,5.58
1323,UCIC,False,False,27.5,40.0,105.36,625.54,1100.0,0.01,2.634,10.44,15.63,1.75
1324,SALEH ALRASHED,False,False,38.8,18.6,66.15,400.05,721.68,0.01,3.556,10.909,21.5,1.8
2001,CHEMANOL,False,False,31.9,15.0,-485.55,238.85,478.5,,-32.37,,15.92,2.0
2010,SABIC,False,False,50.3,3000.0,-21320.0,123530.0,150900.0,1.57,-7.107,,41.17,1.22
2020,SABIC AGRI-NUTRIENTS,False,False,129.8,476.035,3884.0,21192.0,61789.34,0.64,8.159,15.908,44.51,2.91
2060,TASNEE,False,False,9.51,668.914,-3484.3,6910.5,6361.37,0.07,-5.209,,10.33,0.92
2090,NGC,False,False,13.61,31.666,-35.93,556.43,430.97,,-1.135,,17.57,0.77
2150,ZOUJAJ,False,False,39.1,32.9,111.7,863.0,1286.39,0.01,3.395,11.516,26.23,1.49
2170,ALUJAIN,False,False,27.94,69.2,-725.01,2559.84,1933.45,0.02,-10.477,,36.99,0.75
2180,FIPCO,False,False,34.5,11.5,1.9,132.2,396.75,,0.165,208.815,11.49,3.0
2200,APC,False,False,5.32,252.0,64.98,483.23,1340.64,0.01,0.258,20.631,1.91,2.77
