Sector,Close Price,Issued Shares,Net Income,Shareholders Equity,Market Cap,Market Cap %,EPS,P/E Ratio,Book Value
Energy,245826.913,421382.16,1618529.42,6454514.82,67.05,1.714,15.288,6.58,3.99
Materials,15325.784,-13326.1,311394.16,633084.94,6.55,-0.87,25.949,20.32,2.03
Capital Goods,3096.778,3688.48,16789.2,64740.16,0.68,1.191,15.611,5.42,3.86
Commercial & Professional Svc,1368.707,846.65,4402.33,15480.38,0.15,0.619,13.873,3.22,3.52
Transportation,900.964,1926.71,16306.86,38724.85,0.39,2.138,20.099,18.1,2.37
Consumer Durables & Apparel,854.647,-6.68,2549.66,4389.02,0.05,-0.008,24.99,2.98,1.72
Consumer Services,10161.07,1775.11,16428.14,50187.93,0.51,0.175,21.938,1.62,3.05
Media and Entertainment,490.421,-760.92,8750.24,15780.42,0.17,-1.552,,17.84,1.8
Consumer Discretionary Distribution & Retail,2203.516,2324.83,7945.57,49332.54,0.5,1.055,19.483,3.61,6.21
Consumer Staples Distribution & Retail,2401.0,1593.07,8676.94,30195.91,0.32,0.664,18.341,3.61,3.48
Food & Beverages,2899.557,4978.64,40981.32,86433.96,0.87,1.717,15.276,14.13,2.11
Household & Personal Products,25.0,209.31,617.7,3080.0,0.03,8.372,14.715,24.71,4.99
Health Care Equipment & Svc,2525.603,5327.41,31888.01,146914.45,1.53,2.109,26.828,12.63,4.61
"Pharma, Biotech & Life Science",225.0,804.98,4012.2,15728.5,0.16,3.578,19.539,17.83,3.92
Banks,29586.044,96096.69,624529.14,1075056.46,11.17,3.248,11.187,21.11,1.72
Financial Services,4822.265,2858.71,80566.73,80112.82,0.82,0.593,25.504,16.71,0.99
Insurance,1845.341,2584.65,30708.78,87002.97,0.89,1.401,23.078,16.64,2.83
Software & Services,790.0,4002.21,10219.16,90530.6,0.94,5.066,22.447,12.94,8.86
Telecommunication Services,6702.728,19379.0,117765.0,284153.65,2.95,2.891,14.663,17.57,2.41
Utilities,5454.008,15894.77,296315.97,242971.14,2.53,2.914,15.286,54.33,0.82
REITs,2162.606,398.4,18032.03,14669.07,0.15,0.184,17.611,8.34,0.81
Real Estate Mgmt & Dev't,7939.285,7428.74,110625.95,142611.39,1.46,0.936,16.804,13.93,1.29
