symbol,date,open,high,low,close,change,change_percent,volume_traded,value_traded_sar,no_of_trades
4083,2026-09-14,29.2,29.22,28.66,28.66,-0.54,-1.85,111800.0,3225688.4,566.0
4083,2026-09-13,28.62,29.3,28.62,29.2,-0.1,-0.34,130722.0,3787723.26,328.0
4083,2026-09-10,29.38,29.58,29.2,29.3,-0.38,-1.28,69884.0,2053936.7,373.0
4083,2026-09-09,29.82,30.06,29.0,29.68,-0.2,-0.67,507046.0,14894720.94,867.0
4083,2026-09-08,30.46,30.46,29.82,29.88,-0.04,-0.13,217602.0,6543173.48,649.0
4083,2026-09-07,30.34,30.48,29.86,29.92,-0.34,-1.12,166568.0,4999934.26,463.0
4083,2026-09-06,29.82,30.32,29.82,30.26,0.44,1.48,80825.0,2438698.98,409.0
4083,2026-09-03,29.8,30.4,29.8,29.82,-0.16,-0.53,45510.0,1369364.88,423.0
4083,2026-09-02,30.18,30.32,29.9,29.98,-0.04,-0.13,69625.0,2092289.76,422.0
4083,2026-09-01,29.84,30.88,29.62,30.02,0.18,0.6,443359.0,13382516.14,994.0
4083,2026-08-31,30.9,31.04,29.84,29.84,-1.06,-3.43,410824.0,12344698.66,983.0
4083,2026-08-30,32.0,32.0,30.9,30.9,-1.0,-3.13,116159.0,3636181.86,648.0
4083,2026-08-27,31.98,32.24,31.46,31.9,-0.34,-1.05,346539.0,11059265.16,1082.0
4083,2026-08-26,31.86,32.46,31.7,32.24,0.44,1.38,233878.0,7527301.8,1043.0
4083,2026-08-25,31.8,31.92,31.36,31.8,0.08,0.25,161469.0,5126028.9,714.0
4083,2026-08-24,31.2,31.72,31.0,31.72,0.72,2.32,348876.0,10952353.28,999.0
4083,2026-08-23,29.98,31.14,29.98,31.0,1.04,3.47,159921.0,4912322.74,798.0
4083,2026-08-20,30.2,30.5,29.96,29.96,-0.24,-0.79,145856.0,4396702.06,672.0
4083,2026-08-19,30.32,30.36,29.88,30.2,-0.04,-0.13,98945.0,2980115.2,543.0
4083,2026-08-18,30.3,30.46,29.98,30.24,-0.06,-0.2,140047.0,4225835.36,715.0
4083,2026-08-17,29.46,30.76,29.18,30.3,0.9,3.06,413859.0,12556171.66,2114.0
4083,2026-08-16,28.98,29.98,28.5,29.4,1.18,4.18,422233.0,12399183.94,1506.0
4083,2026-08-13,28.3,28.68,28.12,28.22,-0.22,-0.77,83101.0,2360390.26,548.0
4083,2026-08-12,28.06,28.5,27.9,28.44,0.38,1.35,182651.0,5135531.92,644.0
4083,2026-08-11,28.12,28.22,27.8,28.06,-0.06,-0.21,322633.0,9031916.92,1076.0
4083,2026-08-10,28.98,28.98,27.9,28.12,-0.44,-1.54,356227.0,10021892.9,1704.0
4083,2026-08-09,28.7,28.9,28.52,28.56,-0.16,-0.56,434342.0,12440181.06,1442.0
4083,2026-08-06,29.6,29.66,28.68,28.72,-0.86,-2.91,184016.0,5350255.9,1150.0
4083,2026-08-05,29.88,30.14,29.54,29.58,-0.3,-1.0,139148.0,4150444.14,681.0
4083,2026-08-04,30.02,30.36,29.8,29.88,-0.14,-0.47,482749.0,14459722.32,1632.0
4083,2026-08-03,29.34,30.42,29.22,30.02,0.6,2.04,285629.0,8565037.04,1349.0
4083,2026-08-02,29.6,29.74,29.3,29.42,0.02,0.07,164941.0,4860252.82,736.0
4083,2026-07-30,29.04,29.88,28.56,29.4,0.4,1.38,294692.0,8587007.46,1321.0
4083,2026-07-29,29.0,29.22,28.32,29.0,0.0,0.0,195651.0,5634201.74,1120.0
4083,2026-07-28,29.3,29.34,28.98,29.0,-0.3,-1.02,167213.0,4880284.94,883.0
4083,2026-07-27,29.36,29.62,29.16,29.3,-0.06,-0.2,169348.0,4969689.0,728.0
4083,2026-07-26,29.06,29.44,29.06,29.36,0.0,0.0,141651.0,4140046.22,448.0
4083,2026-07-23,29.28,29.5,29.04,29.36,0.1,0.34,158771.0,4661659.0,648.0
4083,2026-07-22,29.2,29.42,29.12,29.26,0.08,0.27,83769.0,2449722.0,610.0
4083,2026-07-21,29.62,29.72,29.18,29.18,-0.46,-1.55,204067.0,5996217.38,1022.0
4083,2026-07-20,29.98,30.08,29.62,29.64,-0.1,-0.34,135858.0,4047028.5,636.0
4083,2026-07-19,30.06,30.06,29.64,29.74,-0.4,-1.33,259409.0,7718129.4,944.0
4083,2026-07-16,30.7,30.7,29.86,30.14,0.04,0.13,196698.0,5920577.72,894.0
4083,2026-07-15,30.44,30.54,30.1,30.1,-0.38,-1.25,236571.0,7153428.46,1244.0
4083,2026-07-14,30.9,31.18,30.44,30.48,-0.42,-1.36,338797.0,10470724.52,1278.0
4083,2026-07-13,30.3,31.2,30.1,30.9,0.72,2.39,590316.0,18123420.4,1956.0
4083,2026-07-12,30.58,30.76,30.18,30.18,-0.6,-1.95,357778.0,10866878.02,1703.0
4083,2026-07-09,31.1,31.3,30.04,30.78,-0.82,-2.59,1287837.0,39485787.72,4835.0
4083,2026-07-08,33.3,33.48,31.6,31.6,-3.5,-9.97,3479647.0,111229797.3,8840.0
4083,2026-07-07,35.3,35.3,34.5,35.1,-0.22,-0.62,299936.0,10420061.26,1205.0
4083,2026-07-06,34.64,36.1,34.34,35.32,0.68,1.96,390730.0,13845151.88,1968.0
4083,2026-07-05,34.22,35.04,34.0,34.64,0.24,0.7,231623.0,7989576.82,965.0
4083,2026-07-02,35.7,35.7,34.4,34.4,-1.3,-3.64,371239.0,12996780.94,2512.0
4083,2026-07-01,35.88,37.14,35.56,35.7,0.38,1.08,900027.0,32598218.3,3016.0
4083,2026-06-30,35.44,36.1,35.26,35.32,0.0,0.0,220744.0,7873053.96,1228.0
4083,2026-06-29,35.5,35.78,35.28,35.32,-0.36,-1.01,187788.0,6661266.24,1201.0
4083,2026-06-28,35.68,36.0,35.3,35.68,0.06,0.17,67721.0,2406045.64,656.0
4083,2026-06-25,36.34,36.34,35.6,35.62,-0.68,-1.87,178260.0,6383119.54,1275.0
4083,2026-06-24,36.5,36.58,35.78,36.3,-0.2,-0.55,583386.0,21074207.64,2248.0
4083,2026-06-23,36.88,37.24,36.2,36.5,-0.4,-1.08,244117.0,8964380.6,1301.0
4083,2026-06-22,37.78,37.82,36.8,36.9,-0.88,-2.33,262106.0,9724301.94,1656.0
4083,2026-06-21,37.94,38.1,37.74,37.78,-0.16,-0.42,91222.0,3456757.48,434.0
4083,2026-06-18,38.1,38.18,37.9,37.94,-0.26,-0.68,127173.0,4831004.44,784.0
4083,2026-06-17,37.72,38.52,37.64,38.2,0.52,1.38,345447.0,13189977.6,1455.0
4083,2026-06-16,38.28,38.28,37.6,37.68,-0.58,-1.52,406999.0,15394465.08,1787.0
4083,2026-06-15,38.3,38.64,38.14,38.26,-0.04,-0.1,420425.0,16134380.98,1648.0
4083,2026-06-14,38.6,38.62,38.24,38.3,-0.1,-0.26,323429.0,12422819.76,843.0
4083,2026-06-11,38.1,38.4,37.74,38.4,0.26,0.68,283058.0,10762132.78,1712.0
4083,2026-06-10,38.5,38.5,38.06,38.14,-0.26,-0.68,145398.0,5559872.24,878.0
4083,2026-06-09,38.66,39.2,38.22,38.4,-0.08,-0.21,194073.0,7521941.46,1245.0
4083,2026-06-08,37.8,38.48,37.52,38.48,0.38,1.0,201135.0,7635844.98,1179.0
4083,2026-06-07,38.56,38.56,37.88,38.1,-0.6,-1.55,149945.0,5717902.84,992.0
4083,2026-06-04,38.84,38.84,38.3,38.7,0.18,0.47,140840.0,5431273.58,1602.0
4083,2026-06-03,38.18,39.32,38.08,38.52,0.42,1.1,502919.0,19377822.56,2978.0
4083,2026-06-02,39.06,39.14,38.0,38.1,-1.06,-2.71,251997.0,9704771.66,2319.0
4083,2026-06-01,39.9,39.98,39.1,39.16,-0.62,-1.56,291441.0,11491098.32,1927.0
4083,2026-05-31,40.0,40.1,39.52,39.78,-0.12,-0.3,197126.0,7856620.6,1328.0
4083,2026-05-21,41.18,41.22,39.06,39.9,-1.18,-2.87,992937.0,39490936.54,4902.0
4083,2026-05-20,44.52,44.52,40.26,41.08,-3.64,-8.14,2275170.0,95114651.88,6542.0
4083,2026-05-19,44.5,44.94,44.14,44.72,0.28,0.63,521441.0,23252215.18,951.0
4083,2026-05-18,46.66,46.66,43.74,44.44,-2.16,-4.64,424926.0,18916311.26,1845.0
4083,2026-05-17,43.6,46.9,43.6,46.6,2.6,5.91,812828.0,37406391.2,1908.0
4083,2026-05-14,42.2,44.36,42.2,44.0,1.2,2.8,678459.0,29233110.22,3059.0
4083,2026-05-13,43.0,44.0,40.9,42.8,-0.3,-0.7,2069114.0,86975390.44,3458.0
4083,2026-05-12,44.42,44.42,43.1,43.1,-1.24,-2.8,116054.0,5077945.8,1173.0
4083,2026-05-11,45.02,47.0,43.48,44.34,0.6,1.37,484917.0,21703332.64,2606.0
4083,2026-05-10,43.81,43.97,43.07,43.74,-0.07,-0.16,283832.0,12362505.1,1025.0
4083,2026-05-07,43.17,43.81,43.04,43.81,0.64,1.48,216735.0,9400313.6,986.0
4083,2026-05-06,43.11,43.61,43.11,43.17,-0.17,-0.39,88624.0,3843275.3,482.0
4083,2026-05-05,43.84,43.87,42.94,43.34,-0.5,-1.14,218328.0,9471224.8,873.0
4083,2026-05-04,44.01,44.24,43.41,43.84,-0.23,-0.52,123506.0,5410557.2,853.0
4083,2026-05-03,43.34,44.34,43.34,44.07,0.73,1.68,200084.0,8824630.9,520.0
4083,2026-04-30,43.44,43.51,43.11,43.34,-0.1,-0.23,101013.0,4375667.4,592.0
4083,2026-04-29,43.34,43.81,43.21,43.44,0.1,0.23,134640.0,5861680.0,827.0
4083,2026-04-28,44.01,44.01,43.01,43.34,-0.63,-1.43,146768.0,6356676.2,727.0
4083,2026-04-27,43.27,44.11,42.77,43.97,0.76,1.76,260171.0,11356358.2,1155.0
4083,2026-04-26,42.84,43.34,42.67,43.21,0.44,1.03,84467.0,3638296.4,349.0
4083,2026-04-23,43.41,43.41,42.07,42.77,-0.24,-0.56,208867.0,8919908.5,847.0
4083,2026-04-22,43.74,43.84,42.84,43.01,-0.7,-1.6,127700.0,5536213.2,603.0
4083,2026-04-21,44.34,44.34,43.57,43.71,-0.03,-0.07,171391.0,7508754.4,677.0
4083,2026-04-20,44.11,44.14,43.44,43.74,-0.27,-0.61,138195.0,6035570.3,604.0
4083,2026-04-19,43.14,44.34,43.14,44.01,1.17,2.73,492354.0,21665430.8,1216.0
4083,2026-04-16,42.61,42.84,42.21,42.84,0.57,1.35,316305.0,13470342.1,1067.0
4083,2026-04-15,41.91,42.47,41.81,42.27,0.46,1.1,383294.0,16201372.4,958.0
4083,2026-04-14,43.17,43.17,41.41,41.81,-0.53,-1.25,660232.0,27669006.3,1608.0
4083,2026-04-13,40.94,43.14,40.81,42.34,1.37,3.34,485905.0,20524553.4,1642.0
4083,2026-04-12,41.01,41.04,40.54,40.97,0.03,0.07,139050.0,5682383.9,538.0
4083,2026-04-09,41.94,41.94,40.87,40.94,-1.23,-2.92,248605.0,10233855.5,1463.0
4083,2026-04-08,42.31,42.84,41.67,42.17,0.93,2.26,965913.0,40758966.6,1628.0
4083,2026-04-07,42.57,42.57,40.87,41.24,-1.47,-3.44,382262.0,15840971.5,920.0
4083,2026-04-06,42.84,42.84,42.41,42.71,0.0,0.0,77325.0,3293019.5,433.0
4083,2026-04-05,42.67,43.11,42.01,42.71,0.07,0.16,275061.0,11694569.5,754.0
4083,2026-04-02,42.41,43.14,42.07,42.64,0.3,0.71,278202.0,11901565.4,819.0
4083,2026-04-01,42.01,42.61,41.87,42.34,0.3,0.71,169924.0,7187039.0,646.0
4083,2026-03-31,41.91,42.17,41.51,42.04,0.0,0.0,366358.0,15304302.5,1152.0
4083,2026-03-30,42.31,42.57,41.67,42.04,-0.47,-1.11,175200.0,7338404.6,857.0
4083,2026-03-29,41.67,42.51,41.67,42.51,0.97,2.34,122567.0,5178694.4,485.0
4083,2026-03-26,41.41,41.81,41.01,41.54,0.3,0.73,325648.0,13506574.3,1044.0
4083,2026-03-25,40.61,41.44,40.51,41.24,1.33,3.33,928409.0,38081712.4,1892.0
4083,2026-03-24,42.97,42.97,39.77,39.91,-2.63,-6.18,1125371.0,45991644.1,2737.0
4083,2026-03-16,43.04,43.37,42.34,42.54,-0.5,-1.16,329083.0,14010205.4,895.0
4083,2026-03-15,43.37,43.37,42.54,43.04,-0.4,-0.92,117465.0,5028697.3,519.0
4083,2026-03-12,44.47,44.47,43.07,43.44,-0.4,-0.91,180162.0,7830117.0,811.0
4083,2026-03-11,44.67,44.67,43.74,43.84,-0.2,-0.45,217302.0,9576924.8,601.0
4083,2026-03-10,42.47,44.37,42.27,44.04,1.7,4.02,463501.0,20134039.3,1371.0
4083,2026-03-09,45.04,45.04,42.24,42.34,-2.67,-5.93,446005.0,19351618.0,1517.0
4083,2026-03-08,43.67,45.01,43.64,45.01,1.37,3.14,402722.0,17937823.0,790.0
4083,2026-03-05,44.34,44.87,43.34,43.64,-0.33,-0.75,541561.0,23822015.9,1068.0
4083,2026-03-04,43.14,44.41,43.07,43.97,0.83,1.92,1136524.0,49619141.8,1773.0
4083,2026-03-03,43.34,43.34,42.71,43.14,-0.2,-0.46,197826.0,8513150.6,695.0
4083,2026-03-02,44.31,44.74,43.21,43.34,-0.97,-2.19,749937.0,32674410.8,1636.0
4083,2026-03-01,44.64,45.01,41.67,44.31,-0.73,-1.62,202208.0,8869613.6,811.0
4083,2026-02-26,45.67,45.84,45.04,45.04,-0.9,-1.96,698782.0,31662972.3,1352.0
4083,2026-02-25,47.51,47.71,45.51,45.94,-1.83,-3.83,390735.0,17955213.7,1308.0
4083,2026-02-24,48.67,48.67,47.34,47.77,-0.84,-1.73,175236.0,8365071.0,741.0
4083,2026-02-23,49.31,49.31,48.14,48.61,-0.06,-0.12,266545.0,12917699.9,990.0
4083,2026-02-19,48.54,49.74,48.27,48.67,0.26,0.54,791378.0,38839575.6,2380.0
4083,2026-02-18,48.84,48.84,48.17,48.41,-0.43,-0.88,414306.0,20112611.4,1227.0
4083,2026-02-17,49.31,49.51,47.24,48.84,0.83,1.73,2330555.0,113788423.3,5903.0
4083,2026-02-16,48.11,48.51,47.81,48.01,-0.1,-0.21,264200.0,12688019.0,1051.0
4083,2026-02-15,48.94,48.94,48.01,48.11,-0.13,-0.27,66023.0,3188602.2,445.0
4083,2026-02-12,47.74,48.64,47.24,48.24,0.5,1.05,364564.0,17401576.6,1058.0
4083,2026-02-11,48.17,48.17,47.37,47.74,-0.37,-0.77,229882.0,10984765.7,683.0
4083,2026-02-10,48.34,48.51,47.84,48.11,-0.23,-0.48,214854.0,10348085.3,874.0
4083,2026-02-09,50.07,50.07,48.07,48.34,-1.77,-3.53,291709.0,14192637.1,1197.0
4083,2026-02-08,50.51,51.24,49.94,50.11,-0.2,-0.4,59790.0,3013874.0,359.0
4083,2026-02-05,51.34,51.41,50.07,50.31,-1.26,-2.44,162104.0,8186200.9,580.0
4083,2026-02-04,51.77,52.11,51.51,51.57,-0.2,-0.39,56358.0,2914121.3,257.0
4083,2026-02-03,51.94,52.21,51.34,51.77,0.06,0.12,67067.0,3475936.5,423.0
4083,2026-02-02,51.07,51.84,50.14,51.71,0.6,1.17,81993.0,4199656.2,483.0
4083,2026-02-01,51.87,51.91,50.47,51.11,0.07,0.14,87194.0,4449905.7,398.0
4083,2026-01-29,51.54,51.97,51.04,51.04,-0.93,-1.79,82763.0,4257203.1,462.0
4083,2026-01-28,51.81,52.17,51.34,51.97,0.2,0.39,72100.0,3740426.9,395.0
4083,2026-01-27,51.47,52.34,51.47,51.77,0.3,0.58,108107.0,5614904.3,563.0
4083,2026-01-26,51.11,52.34,50.97,51.47,0.3,0.59,192454.0,9956615.2,766.0
4083,2026-01-25,51.01,51.41,50.31,51.17,0.63,1.25,116148.0,5911128.0,561.0
4083,2026-01-22,48.97,51.01,48.97,50.54,1.73,3.54,340358.0,17062782.3,1114.0
4083,2026-01-21,48.57,49.24,47.84,48.81,0.24,0.49,175668.0,8562041.7,824.0
4083,2026-01-20,49.31,49.31,48.51,48.57,-0.74,-1.5,244331.0,11913158.6,1048.0
4083,2026-01-19,49.07,49.47,48.51,49.31,0.57,1.17,306418.0,15013584.2,1071.0
4083,2026-01-18,49.74,50.21,48.74,48.74,-1.17,-2.34,273417.0,13502972.8,884.0
4083,2026-01-15,50.67,50.67,49.44,49.91,-0.63,-1.25,119745.0,5979261.4,869.0
4083,2026-01-14,51.11,51.31,50.34,50.54,-0.6,-1.17,178122.0,9051035.0,882.0
4083,2026-01-13,51.14,51.77,50.94,51.14,0.0,0.0,125678.0,6437417.2,819.0
4083,2026-01-12,52.57,52.57,49.84,51.14,-1.23,-2.35,1022763.0,51782764.3,2776.0
4083,2026-01-11,52.01,52.87,51.84,52.37,0.3,0.58,114424.0,5975352.2,309.0
4083,2026-01-08,52.41,52.84,52.07,52.07,-0.5,-0.95,109840.0,5771887.4,382.0
4083,2026-01-07,52.97,53.51,52.37,52.57,0.33,0.63,132913.0,7027417.2,475.0
4083,2026-01-06,52.34,52.44,51.94,52.24,0.13,0.25,39264.0,2049750.6,319.0
4083,2026-01-05,52.01,53.31,52.01,52.11,0.44,0.85,217152.0,11429070.7,636.0
4083,2026-01-04,52.64,52.64,51.01,51.67,-0.74,-1.41,133633.0,6900595.7,358.0
4083,2026-01-01,51.64,52.61,51.64,52.41,0.77,1.49,40419.0,2107515.3,204.0
4083,2025-12-31,50.84,51.81,50.84,51.64,0.97,1.91,54730.0,2817262.7,333.0
4083,2025-12-30,50.87,51.27,50.21,50.67,-0.2,-0.39,138813.0,7055667.0,463.0
4083,2025-12-29,51.51,52.24,50.64,50.87,-0.54,-1.05,253461.0,13025443.4,586.0
4083,2025-12-28,51.17,51.51,50.77,51.41,0.07,0.14,102719.0,5260509.6,425.0
4083,2025-12-25,50.94,51.41,50.67,51.34,0.13,0.25,27986.0,1431585.3,182.0
4083,2025-12-24,51.94,51.94,50.57,51.21,-0.53,-1.02,190990.0,9784960.6,840.0
4083,2025-12-23,52.27,52.71,51.57,51.74,-1.03,-1.95,188962.0,9850866.3,536.0
4083,2025-12-22,52.67,53.47,52.44,52.77,-0.24,-0.45,81813.0,4324093.2,438.0
4083,2025-12-21,52.44,53.17,52.44,53.01,0.4,0.76,38943.0,2056191.9,279.0
4083,2025-12-18,52.27,52.67,51.87,52.61,-0.03,-0.06,55423.0,2899278.9,422.0
4083,2025-12-17,52.24,52.64,51.84,52.64,0.07,0.13,47093.0,2460214.7,275.0
4083,2025-12-16,53.04,53.14,52.11,52.57,-0.77,-1.44,69958.0,3677196.4,625.0
4083,2025-12-15,53.34,54.14,53.01,53.34,-0.33,-0.61,107996.0,5802201.3,565.0
4083,2025-12-14,54.11,54.11,53.34,53.67,-0.44,-0.81,82772.0,4454631.8,351.0
4083,2025-12-11,53.87,54.17,53.47,54.11,0.24,0.45,80280.0,4323100.7,524.0
4083,2025-12-10,53.21,54.27,53.01,53.87,1.16,2.2,117945.0,6331411.0,674.0
4083,2025-12-09,52.34,53.27,52.34,52.71,0.37,0.71,135816.0,7151576.7,728.0
4083,2025-12-08,52.74,53.01,52.11,52.34,-0.63,-1.19,31834.0,1673050.6,331.0
4083,2025-12-07,52.67,53.34,52.34,52.97,-0.1,-0.19,46346.0,2449115.5,293.0
4083,2025-12-04,51.41,53.14,51.41,53.07,1.73,3.37,127226.0,6685394.1,652.0
4083,2025-12-03,52.94,52.94,51.34,51.34,-1.53,-2.89,121568.0,6292414.8,1015.0
4083,2025-12-02,52.01,55.31,52.01,52.87,0.76,1.46,128209.0,6820374.9,702.0
4083,2025-12-01,52.34,52.54,51.67,52.11,-0.2,-0.38,59649.0,3116839.9,510.0
4083,2025-11-30,52.11,52.31,51.54,52.31,0.2,0.38,13312.0,688914.4,188.0
4083,2025-11-27,52.34,52.64,51.04,52.11,-0.2,-0.38,118779.0,6165766.7,912.0
4083,2025-11-26,50.84,52.31,50.54,52.31,1.4,2.75,60072.0,3084381.2,550.0
4083,2025-11-25,52.67,52.67,50.67,50.91,-1.53,-2.92,94216.0,4822453.9,753.0
4083,2025-11-24,52.67,52.74,52.04,52.44,-0.33,-0.63,53929.0,2824231.2,393.0
4083,2025-11-23,52.61,52.91,52.01,52.77,0.16,0.3,26282.0,1374485.1,195.0
4083,2025-11-20,52.41,53.04,52.37,52.61,0.04,0.08,44945.0,2369095.0,470.0
4083,2025-11-19,52.71,53.34,52.34,52.57,0.0,0.0,41988.0,2209850.4,324.0
4083,2025-11-18,52.31,52.94,52.14,52.57,0.23,0.44,19050.0,1003105.2,280.0
4083,2025-11-17,53.84,54.11,52.07,52.34,-1.5,-2.79,109627.0,5766931.9,587.0
4083,2025-11-16,54.01,54.31,53.74,53.84,-1.04,-1.9,28319.0,1528832.1,240.0
4083,2025-11-13,54.94,55.08,54.34,54.88,-0.06,-0.11,27632.0,1512236.1,199.0
4083,2025-11-12,54.68,55.68,54.27,54.94,0.26,0.48,92248.0,5077735.1,476.0
4083,2025-11-11,54.61,54.81,53.51,54.68,0.07,0.13,324482.0,17556584.6,1142.0
4083,2025-11-10,55.74,56.11,54.37,54.61,-1.1,-1.97,943761.0,51996466.5,1491.0
4083,2025-11-09,57.01,57.01,55.14,55.71,-1.3,-2.28,146138.0,8152882.2,387.0
